date,2021_11_09__22_32_58_daily_actor_2_lr_0.0001_critic_lr_0.001_epoch_5000_gamma_1.0
2015-01-05,0.9847346740974073
2015-01-06,0.9728616428398352
2015-01-07,0.9811000726920283
2015-01-08,1.0026653743639449
2015-01-09,0.999515386479283
2015-01-12,0.9878846619820697
2015-01-13,0.9871577417009938
2015-01-14,0.9815846862127457
2015-01-15,0.968984734674098
2015-01-16,0.9784346983280839
2015-01-20,0.9866731281802767
2015-01-21,0.9883692755027872
2015-01-22,1.0046038284468142
2015-01-23,1.0043615216864556
2015-01-26,1.0002423067603592
2015-01-27,0.9714078022776842
2015-01-28,0.9697116549551739
2015-01-29,0.9789193118488011
2015-01-30,0.9668039738308704
2015-02-02,0.9767385510055737
2015-02-03,0.98788466198207
2015-02-04,0.9898231160649388
2015-02-05,0.9990307729585661
2015-02-06,0.9958807850739042
2015-02-09,0.9944269445117526
2015-02-10,1.0092076568936281
2015-02-11,1.013084565059366
2015-02-12,1.026896050399807
2015-02-13,1.0334383329294896
2015-02-17,1.0339229464502069
2015-02-18,1.0348921734916414
2015-02-19,1.0385267748970204
2015-02-20,1.04385752362491
2015-02-23,1.044584443905986
2015-02-24,1.047734431790648
2015-02-25,1.041192149260966
2015-02-26,1.0477344317906492
2015-02-27,1.0440998303852704
2015-03-02,1.0523382602374645
2015-03-03,1.0453113641870673
2015-03-04,1.0411921492609713
2015-03-05,1.0399806154591784
2015-03-06,1.0271383571601722
2015-03-09,1.0319844923673445
2015-03-10,1.0109038042161447
2015-03-11,1.0043615216864623
2015-03-12,1.010903804216145
2015-03-13,1.0053307487278966
2015-03-16,1.0172037799854687
2015-03-17,1.0174460867458275
2015-03-18,1.0312575720862684
2015-03-19,1.0283498909619653
2015-03-20,1.0307729585655516
2015-03-23,1.0307729585655545
2015-03-24,1.027380663920535
2015-03-25,1.0009692270414468
2015-03-26,1.0016961473225225
2015-03-27,1.0024230676035983
2015-03-30,1.0145384056215292
2015-03-31,1.004119214926109
2015-04-01,1.0026653743639573
2015-04-02,1.0024230676035988
2015-04-06,1.0121153380179435
2015-04-07,1.009934577174716
2015-04-08,1.013084565059378
2015-04-09,1.015749939423323
2015-04-10,1.019626847589063
2015-04-13,1.0167191664647672
